January,February,March,April,May,June,July,August,September,October,November,December
3.00999999,1.589999914,1.360000014,1.189999938,0.50999999,0.319999993,1.569999933,0.370000005,2.039999962,1.019999981,0.569999993,2.139999866
3.159999847,1.529999971,1.350000024,1.199999928,0.48999998,0.319999993,1.5,0.389999986,2.049999952,1.179999948,0.50999999,2.109999895
3.309999943,1.449999928,1.339999914,1.189999938,0.469999999,0.310000002,1.399999976,0.389999986,2.079999924,1.50999999,0.449999988,2.069999933
3.349999905,1.49000001,1.329999924,1.179999948,0.459999979,0.310000002,1.279999971,0.419999987,2.099999905,1.659999967,0.409999996,2.029999971
3.349999905,1.579999924,1.319999933,1.159999967,0.479999989,0.299999982,1.209999919,0.459999979,2.129999876,1.730000019,0.409999996,1.9799999
3.319999933,1.709999919,1.309999943,1.139999986,0.519999981,0.289999992,1.129999995,0.50999999,2.159999847,1.75999999,0.439999998,1.939999938
3.099999905,1.909999967,1.319999933,1.120000005,0.579999983,0.289999992,1.049999952,0.459999979,2.149999857,1.549999952,0.48999998,1.889999986
2.970000029,2.25,1.309999943,1.100000024,0.629999995,0.280000001,1.029999971,0.439999998,2.109999895,1.459999919,0.560000002,1.839999914
2.879999876,2.659999847,1.299999952,1.069999933,0.680000007,0.269999981,1.049999952,0.419999987,2.089999914,1.399999976,0.639999986,1.789999962
2.779999971,2.710000038,1.269999981,1.049999952,0.709999979,0.269999981,1.079999924,0.389999986,2.069999933,1.350000024,0.709999979,1.74000001
2.679999828,2.629999876,1.24000001,1.019999981,0.74000001,0.25999999,1.079999924,0.349999994,2.049999952,1.319999933,0.779999971,1.699999928
2.599999905,2.49000001,1.189999938,1,0.75999999,0.269999981,1.090000033,0.299999982,2.049999952,1.350000024,0.849999964,1.649999976
2.529999971,2.359999895,1.139999986,0.98999995,0.779999971,0.269999981,1.110000014,0.269999981,2.039999962,1.389999986,0.949999988,1.610000014
2.480000019,2.220000029,1.079999924,0.979999959,0.799999952,0.269999981,1.129999995,0.229999989,2.039999962,1.419999957,1.079999924,1.569999933
2.429999828,2.059999943,1,0.98999995,0.819999993,0.280000001,1.159999967,0.199999988,2.019999981,1.439999938,1.199999928,1.529999971
2.349999905,1.9799999,0.939999998,1.00999999,0.839999974,0.289999992,1.169999957,0.179999992,2.00999999,1.449999928,1.179999948,1.50999999
2.25999999,1.919999957,0.879999995,1.049999952,0.859999955,0.289999992,1.179999948,0.159999996,2.019999981,1.449999928,1.129999995,1.5
2.159999847,1.879999995,0.829999983,1.110000014,0.879999995,0.299999982,1.179999948,0.149999991,2.029999971,1.439999938,1.069999933,1.5
2.039999962,1.809999943,0.769999981,1.110000014,0.859999955,0.310000002,1.169999957,0.140000001,2.019999981,1.459999919,1.039999962,1.50999999
1.919999957,1.709999919,0.719999969,1.090000033,0.819999993,0.310000002,1.059999943,0.129999995,2,1.519999981,1.029999971,1.529999971
1.799999952,1.599999905,0.669999957,1.079999924,0.769999981,0.310000002,0.930000007,0.129999995,1.969999909,1.589999914,1.00999999,1.549999952
1.719999909,1.569999933,0.629999995,1.100000024,0.729999959,0.319999993,0.819999993,0.119999997,1.929999948,1.610000014,1,1.569999933
